X,Y,NUMERO_REGISTRO,NOMBRE,CALLE,NUMERO,DIRECCION_NORMALIZADA,NUMERO_EXPEDIENTE,CAPACIDAD,CLASE,ESTADO,DISPOSICION,FECHA_DISP_INSCRIPCION,NUMERO_DIPS,FECHA_DISP_RE_INSCRIPCION,NUMERO_DISP_DE_RECHAZO,FECHA_DISPOSICION_DE_RECHAZO,NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD,FECHA_DISPOSICION_DE_CAPACIDAD,FECHA_DE_ENTREGA_NUEVA_REVALIDA,VENCIMIENTO,BARRIO,COMUNA,CP,CPA
-58.376047,-34.598835,17,GONG,AV. CÓRDOBA ,634,AV. CÓRDOBA  634,6670378/18,200 personas,"""C""",RENOVADO 2018,20,2005-03-10 00:00:00,41,2018-03-22 00:00:00,,,51,2006-03-23 00:00:00,2018-03-02,2018-04-27,San Nicolas,Comuna 1,1054,C1054AAS
-58.435462,-34.553124,18,RUMI,F. ALCORTA,6438,F. ALCORTA 6438,10834/05,765 personas,"""C.C""",BAJA INSC. Disp.40/13,21,2005-03-10 00:00:00,31,2012-03-09 00:00:00,,,149,2005-11-02 00:00:00,,,Belgrano,Comuna 13,1428,C1428BCN
-58.470238,-34.630759,19,EVELYN,AV. RIVADAVIA ,7425,AV. RIVADAVIA  7425,3856267/18,452 personas,"""C.C""",RENOVADO 2018,22,2005-03-10 00:00:00,23,2018-03-01 00:00:00,,,135,2005-09-29 00:00:00,2018-06-15,2018-09-15,Flores,Comuna 7,1406,C1406GME
-58.379677,-34.610694,20,PALACIO ALSINA,ALSINA ,934,ALSINA  934,30346823/17,2140 personas,"""C""",RENOVADO 2018,23,2005-03-10 00:00:00,5,2018-01-26 00:00:00,,,9,2017-02-02 00:00:00,2018-06-06,2018-09-03,Monserrat,Comuna 1,1088,C1088AAB
-58.438732,-34.587241,21,NICETO CLUB ,NICETO VEGA ,5508,NICETO VEGA  5508,5071026/18,1118 personas,"""C""",RENOVADO 2018,24,2005-03-10 00:00:00,30,2018-03-08 00:00:00,,,58,2005-05-06 00:00:00,2018-06-18,2018-09-06,Palermo,Comuna 14,1414,C1414BFD
-58.409546,-34.597005,23,GLAM ,JOSE A. CABRERA ,3046,JOSE A. CABRERA  3046,13994054/18 ,489 personas,"""C.C""",RENOVADO 2018,26,2005-03-11 00:00:00,59,2018-06-13 00:00:00,,,60,2007-05-10 00:00:00,2018-06-11,2018-08-17,Recoleta,Comuna 2,1186,C1186AAF
-58.423242,-34.579654,24,NEW METROPOLIS,AV. SANTA FE ,4389,AV. SANTA FE  4389,10628/05,1602 personas,"""C""","BAJA INSC.Disp. 
77/2008 conjunta",27,2005-03-11 00:00:00,,,61,2006-04-07 00:00:00,145,2005-10-17 00:00:00,,,Palermo,Comuna 14,1425,C1425BHF
-58.395152,-34.588016,25,TIRO LOCO,VICENTE LOPEZ ,2188,VICENTE LOPEZ  2188,11118/05,177 personas,"""C.C""","BAJA INSC:Disp. 
Conjunta N° 007/2010",28,2005-03-14 00:00:00,38,2006-03-17 00:00:00,,,38,2006-03-17 00:00:00,,,Recoleta,Comuna 2,1128,C1128ACH
-58.421467,-34.582366,26,PALERMO CLUB ,BORGES ,2450,BORGES  2450,5724111/18,650 personas,"""C""",RENOVADO 2018,29,2005-03-14 00:00:00,31,2018-03-13 00:00:00,,,121,2005-08-18 00:00:00,2018-05-31,2018-08-07,Palermo,Comuna 14,1425,C1425FFJ
-58.472276,-34.631799,27,TABASCO PUB,JOSÉ MARTÍ ,17,JOSÉ MARTÍ  17,5456312/18,999 personas,"""C""",RENOVADO 2018,30,2005-03-15 00:00:00,26,2018-03-07 00:00:00,,,108,2010-08-27 00:00:00,2018-06-15,2018-09-15,Flores,Comuna 7,1406,C1406FBA
-58.365754,-34.598275,28,OPERA BAY,CECILIA GRIERSON ,225,CECILIA GRIERSON  225,10674/05,1239 personas,"""C.C""","BAJA INSC. Disp. 
44/2008 conjunta",31,2005-03-15 00:00:00,48,2007-03-30 00:00:00,,,32,2006-03-17 00:00:00,,,Retiro,Comuna 1,1107,C1107CPE
-58.470165,-34.630957,29,BELLAKEO NIGHT,AV. RIVADAVIA ,7428,AV. RIVADAVIA  7428,13886966/18,1260 personas,"""C""",RENOVADO 2018,32,2005-03-15 00:00:00,58,2018-06-07 00:00:00,,,35,2006-03-17 00:00:00,2018-06-28,2018-09-15,Flores,Comuna 7,1406,C1406GMR
-58.456304,-34.562678,30,AZUCAR BELGRANO,AV. CABILDO,2040,AV. CABILDO 2040,10832/05,521 personas,"""C""","BAJA INSC: Disp. 
Conjunta N°47/2010",33,2005-03-16 00:00:00,114,2009-12-18 00:00:00,,,90,2007-09-14 00:00:00,2017-08-10,2017-11-10,Belgrano,Comuna 13,1428,C1428AAP
-58.438260,-34.564971,31,VELVET FRERE,OLLEROS ,1775,OLLEROS  1775,3430305/18,650 personas,"""C""",RENOVADO 2018,34,2005-03-16 00:00:00,15,2018-02-21 00:00:00,,,19,2009-03-04 00:00:00,2018-06-13,2018-09-15,Palermo,Comuna 14,1426,C1426CRE
-58.392675,-34.588914,32,SAHARA,JUNIN ,1735,JUNIN  1735,10658/05,870 personas,"""C""",BAJA INSC: Disp. Conjunta N° 74/11,35,2005-03-17 00:00:00,43,2010-03-19 00:00:00,,,46,2006-03-23 00:00:00,,,Recoleta,Comuna 2,1113,C1113AAS
-58.392782,-34.589096,33,NEW PORT,JUNIN ,1715,JUNIN  1715,10566/05,295 personas,"""C.C""",BAJA INSCRPICION:DISFC-2015-55-DGFYC,36,2005-03-17 00:00:00,42,2015-04-01 00:00:00,,,54,2006-03-23 00:00:00,,,Recoleta,Comuna 2,1113,C1113AAS
-58.408969,-34.609612,34,LATINO 11,ECUADOR ,60,ECUADOR  60,6446132/18,1540 personas,"""C""",RENOVADO 2018,37,2005-03-18 00:00:00,40,2018-03-22 00:00:00,,,34,2006-03-17 00:00:00,2018-07-05,2018-09-22,Balvanera,Comuna 3,1214,C1214ABB
-58.474756,-34.632229,35,RETRO,RIVADAVIA ,7802,RIVADAVIA  7802,6945659/18,1872 personas,"""C""",RENOVADO 2018,38,2005-03-18 00:00:00,35,2018-03-14 00:00:00,,,144/150,2005-10-05 00:00:00,2018-06-15,2018-09-15,Floresta,Comuna 10,1407,C1407DYN
-58.381897,-34.629059,36,BRONCO,O´BRIEN,1160,O´BRIEN 1160,10827/05,1646 personas,"""C""",INSCRIPCION VENCIDA,39,2005-03-18 00:00:00,24,2007-03-16 00:00:00,001/2010,,147,2005-10-21 00:00:00,,,Constitucion,Comuna 1,1137,C1137ABB
-58.469872,-34.629936,37,AMNESIA,AV. NAZCA ,55,AV. NAZCA  55,10617/05,778 personas,"""C.C""",INSCRIPCION VENCIDA,120,2010-10-20 00:00:00,100,2016-10-20 00:00:00,,,91,2007-10-09 00:00:00,,,Flores,Comuna 7,1406,C1406AIA
-58.400133,-34.569349,38,CAIX,R. OBLIGADO Y SALGUERO,sin nº,R. OBLIGADO Y SALGUERO ,4951810/18,1764 personas,"""C""",RENOVADO 2018,41,2005-03-18 00:00:00,22,2018-03-01 00:00:00,,,134,2005-09-28 00:00:00,2018-05-17,2018-08-15,,,,
-58.501738,-34.594971,39,LE PRIVE,AV. SAN MARTÍN,6101,AV. SAN MARTÍN 6101,10583/05,68 personas,"""C""",INSCRPCION VENCIDA,42,2005-03-21 00:00:00,44,2007-03-23 00:00:00,,,52,2006-03-23 00:00:00,,,Agronomia,Comuna 15,1419,C1419IBE
-58.374682,-34.614192,40,MUSEUM,PERU ,529,PERU  529,10666/05,1952 personas,"""C""",INSCRIPCION VENCIDA,43,2005-03-22 00:00:00,36,2009-03-27 00:00:00,,,80,2005-07-13 00:00:00,,,Monserrat,Comuna 1,1068,C1068AAA
-58.398118,-34.601095,41,ANGEL´S DISCO,VIAMONTE ,2168,VIAMONTE  2168,11627/05,425 personas,"""C""",INSCRIPCION VENCIDA,44,2005-03-22 00:00:00,46,2016-03-31 00:00:00,,,92,2005-07-29 00:00:00,,,Balvanera,Comuna 3,1056,C1056ABH
-58.395531,-34.587417,42,SODOMA,VICENTE LOPEZ ,2233,VICENTE LOPEZ  2233,10671/05,300  personas,"""C.C""","SUSPENDIDO Disp. Nº 
26/DGHP/08",45,2005-03-22 00:00:00,1,2007-01-18 00:00:00,,,1,2007-01-18 00:00:00,,,Recoleta,Comuna 2,1128,C1128ACI
-58.416290,-34.586512,43,CLUB ARÁOZ,ARAOZ ,2422,ARAOZ  2422,2215982/18,1030 personas,"""C""",RENOVADO 2018,46,2005-03-23 00:00:00,11,2018-02-09 00:00:00,,,73,2005-06-17 00:00:00,2018-06-21,2018-09-07,Palermo,Comuna 14,1425,C1425DGL
-58.401943,-34.567919,44,MANDARINE,R. OBLIGADO Y SARMIENTO,sin nº,R. OBLIGADO Y SARMIENTO ,3223764/18,1613 personas,"""C""",RENOVADO 2018,47,2005-03-23 00:00:00,10,2018-02-08 00:00:00,,,38,2009-03-23 00:00:00,2018-06-18,2018-08-24,,,,
-58.410302,-34.558372,45,LA DIOSA-VIDU,R. OBLIGADO ,3731,R. OBLIGADO  3731,10604/05,1558 personas,"""C""",BAJA INSCRIPCION DISFC-2013-127-DGFYC,48,2005-03-23 00:00:00,123,2012-09-17 00:00:00,,,107,2011-09-29 00:00:00,,,Palermo,Comuna 14,1428,
-58.411728,-34.603834,46,EL FOGÓN,AGÜERO ,512,AGÜERO  512,13661/05,274 personas,"""C.C""",BAJA INSC: Disp N°94/12,49,2005-03-23 00:00:00,46,2012-03-23 00:00:00,,,55,2006-03-23 00:00:00,,,Balvanera,Comuna 3,1171,C1171ABH
-58.386061,-34.605278,47,SALON AGUSTEO,SARMIENTO ,1374,SARMIENTO  1374,10587/05,,ART 1º,"BAJA INSC: Disp. 
Nº 30/DGHP/2008",50,2005-03-23 00:00:00,,,,,,,,,San Nicolas,Comuna 1,1041,C1041ABB
-58.415350,-34.610722,48,EL FANTA NORTEÑO,AV. RIVADAVIA ,3469,AV. RIVADAVIA  3469,4851044/18,1270 personas,"""C""",RENOVADO 2018,51,2005-04-01 00:00:00,18,2018-02-23 00:00:00,10,2006-02-14 00:00:00,160,2005-12-22 00:00:00,2018-06-22,2018-09-22,Almagro,Comuna 5,1203,C1203AAG
-58.450839,-34.580135,49,TEATRO VORTERIX,F. LACROZE ,3453,F. LACROZE  3453,6442560/18,1584 personas,"""C.C""",RENOVADO 2018,52,2005-04-01 00:00:00,44,2018-03-28 00:00:00,,,7,2006-01-04 00:00:00,,,Colegiales,Comuna 13,1426,C1426CQH
-58.394643,-34.588376,50,PAGANA,VICENTE LOPEZ ,2134,VICENTE LOPEZ  2134,13361/05,364 personas,"""C.C""",INSCRIPCION VENCIDA,53,2005-04-21 00:00:00,76,2014-05-30 00:00:00, ,,66,2006-04-21 00:00:00,,,Recoleta,Comuna 2,1128,C1128ACH
-58.405142,-34.608751,51,POPULARISIMO ,BARTOLOME MITRE ,2737,BARTOLOME MITRE  2737,10662/05,200 personas,"""C""",BAJA DE INSCRIPCION ,4,2007-02-14 00:00:00,71,2006-05-05 00:00:00,,,71,2006-05-05 00:00:00,,,Balvanera,Comuna 3,1039,C1039AAS
-58.414942,-34.604021,52,EL PICAFLOR,AV. CORRIENTES ,3530,AV. CORRIENTES  3530,16837563/18,662 personas,"""C""",RENOVADO 2018,56,2005-05-04 00:00:00,64,2018-07-17 00:00:00,69,2006-05-04 00:00:00,84,2007-08-10 00:00:00,2018-04-27,2018-07-27,Almagro,Comuna 5,1194,C1194AAO
-58.473457,-34.541747,53,MIND,AV CABILDO ,4665,AV CABILDO  4665,1516573018, 883 personas,"""C""",RENOVADO 2018,57,2005-05-04 00:00:00,61,2018-06-19 00:00:00,,,61,2018-06-19 00:00:00,2018-05-29,2018-08-03,Nu\u00f1ez,Comuna 13,1429,C1429ABE
-58.392141,-34.594625,54,THE SHAMROCK,RODRIGUEZ PEÑA ,1220,RODRIGUEZ PEÑA  1220,9654558/18,396 personas,"""C.C""",RENOVADO 2018,64,2005-05-18 00:00:00,52,2018-05-02 00:00:00,,,63,2006-05-12 00:00:00,2018-04-18,2018-07-21,Recoleta,Comuna 2,1021,C1021ABB
-58.447784,-34.547025,55,CLUB 74,FIGUEROA ALCORTA ,7474,FIGUEROA ALCORTA  7474,10836/05,180 personas,"""B""",INSCRIPCION VENCIDA,65,2005-05-18 00:00:00,77,2014-06-09 00:00:00,,,76,2006-06-01 00:00:00,,,Belgrano,Comuna 13,1428,C1428BCX
-58.392585,-34.615711,56,MONTECARLO,MEXICO ,1861,MEXICO  1861,10673/05,460 personas,"""C""",INSCRIPCION VENCIDA,66,2005-06-08 00:00:00,61,2017-06-16 00:00:00,,,6,2006-01-10 00:00:00,2017-03-23,2017-06-20,Balvanera,Comuna 3,1222,C1222ABA
-58.427497,-34.624127,57,PHUKET,AV. LA PLATA  ,731,AV. LA PLATA   731,12904464/18,1593 personas,"""C.C""",RENOVADO 2018,67,2005-06-08 00:00:00,56,2018-05-30 00:00:00,,,67,2005-06-08 00:00:00,2018-07-18,2018-10-20,Caballito,Comuna 6,1235,C1235ABE
-58.379908,-34.597323,58,CATTOS,SUIPACHA ,930,SUIPACHA  930,20218/05,100 personas,"""C.C""",INSCRIPCION VENCIDA,68,2005-06-08 00:00:00,82,2014-06-24 00:00:00,,,93,2005-08-04 00:00:00,,,Retiro,Comuna 1,1008,C1008AAT
-58.439581,-34.586455,59,INK,NICETO VEGA  ,5635,NICETO VEGA   5635,20819/05,409 personas,"""C.C""",RENOVADO 2017,69,2005-06-08 00:00:00,75,2017-08-11 00:00:00,,,79,2006-06-09 00:00:00,2018-07-10,2018-08-21,Palermo,Comuna 14,1414,C1414BFE
-58.383094,-34.629105,60,RADIO STUDIO,O`BRIEN ,1232,O`BRIEN  1232,21027149/17,3050 personas,"""C""",RENOVADO 2017,72,2005-06-13 00:00:00,94,2017-10-12 00:00:00,,,104,2008-11-27 00:00:00,2018-07-19,2018-09-20,Constitucion,Comuna 1,1137,C1137ABD
-58.377683,-34.604691,61,EL TEATRITO,SARMIENTO ,777,SARMIENTO  777,24459/05,538 personas,"""C""","BAJA  INSC: Disp. 
Conjunta 92/2010",74,2005-06-17 00:00:00,105,2009-11-19 00:00:00,,,127,2006-11-17 00:00:00,,,San Nicolas,Comuna 1,1041,C1041AAO
-58.423562,-34.598689,62,AMERIKA,GASCON  ,1036,GASCON   1036,10601/05,2450 personas,"""C""",RENOVADO 2017,84,2005-07-14 00:00:00,84,2017-09-06 00:00:00,,,158,2012-12-20 00:00:00,2018-05-04,2018-08-10,Almagro,Comuna 5,1181,C1181ACT
-58.379823,-34.609022,63,REQUIEM GOTIC,AV. DE MAYO  ,948,AV. DE MAYO   948,24460/05,186 personas,"""C.C""",INSCRIPCION VENCIDA,85,2005-07-19 00:00:00,90,2006-07-10 00:00:00,,,19,2006-03-06 00:00:00,,,Monserrat,Comuna 1,1084,C1084AAR
-58.372953,-34.597627,64,GREAT CITY,RECONQUISTA,876,RECONQUISTA 876,14498/05,208 personas,"""C.C""",SUSPENDIDO DISFC-2016-58-DGFYC,87,2005-07-22 00:00:00,84,2015-08-14 00:00:00,,,5,2006-01-10 00:00:00,,,Retiro,Comuna 1,1003,C1003ABR
-58.428485,-34.551284,65,PACHA,COSTANERA Y PAMPA,sin nº,COSTANERA Y PAMPA ,30712/05,1942 personas,"""C""",BAJA INSCRPICION: DISFC-2015-80-DGFYC,91,2005-07-29 00:00:00,97,2014-08-20 00:00:00,,,105,2010-08-20 00:00:00,,,,,,
-58.395099,-34.587531,66,MADAHOS,AZCUENAGA,1902,AZCUENAGA 1902,14781/05,396 personas,"""C""",BAJA INSCRIPCION DISP. Nº 65/2013,128,2005-09-15 00:00:00,125,2012-09-28 00:00:00,,,128,2005-09-15 00:00:00,,,Recoleta,Comuna 2,1128,C1128AAH
-58.411863,-34.604651,67,THE FLOWER,AGÜERO,445,AGÜERO 445,21717311/17,405 personas,"""C""",RENOVADO 2017,156,2005-11-18 00:00:00,88,2017-09-29 00:00:00,,,156,2005-11-18 00:00:00,,,Balvanera,Comuna 3,1171,C1171ABE
-58.393721,-34.609365,68,LE CLICK,AV. RIVADAVIA,1908,AV. RIVADAVIA 1908,1242326/18,990 personas,"""C.C""",RENOVADO 2018,159,2005-12-14 00:00:00,7,2018-02-02 00:00:00,,,159,2005-12-14 00:00:00,2018-02-20,2018-04-13,Balvanera,Comuna 3,1033,C1033AAW
-58.382743,-34.628162,69,MBURUKUJA,SALTA,1736,SALTA 1736,61556/05,1140 personas,CLUB ART 1º,INSCRIPCION VENCIDA,7,2006-01-13 00:00:00,7,2017-02-02 00:00:00,,,7,2006-01-13 00:00:00,,,Constitucion,Comuna 1,1137,C1137ACL
-58.471661,-34.631146,70,"VIRUS 10,1",RIVADAVIA,7523,RIVADAVIA 7523,29933889/17,216 personas,"""C.C""",RENOVADO 2018,12,2006-02-21 00:00:00,3,2018-01-19 00:00:00,,,12,2006-02-21 00:00:00,,,Flores,Comuna 7,1406,C1406GMF
-58.392393,-34.588431,71,PISO 1,JUNIN,1787,JUNIN 1787,76735/05,150 personas,"""C.C""",BAJA INSCRIPCION DISP. Nº 05/10,45,2006-03-23 00:00:00,,,,,45,2006-03-23 00:00:00,,,Recoleta,Comuna 2,1113,C1113AAS
-58.422813,-34.571534,72,CROBAR,AV. LIBERTADOR,3883,AV. LIBERTADOR 3883,17463108/2018,2258 personas,"""C""",RENOVADO 2018,57,2006-03-30 00:00:00,65,2018-07-19 00:00:00,,,89,2008-10-09 00:00:00,2018-06-08,2018-09-03,Palermo,Comuna 14,1425,C1425ABL
-58.436148,-34.586122,73,ESPERANTO,AV JUAN B. JUSTO,1625,AV JUAN B. JUSTO 1625,86918/05,572 personas,"""C.C""",INSCRIPCION VENCIDA,59,2006-04-03 00:00:00,50,2016-04-01 00:00:00,,,8,2010-01-22 00:00:00,,,Palermo,Comuna 14,1414,C1414CWF
-58.517999,-34.639000,74,MÁGICO,AV. RIVADAVIA,10925,AV. RIVADAVIA 10925,7441541/18,1320 personas,"""C""",RENOVADO 2018,60,2006-04-04 00:00:00,46,2018-04-06 00:00:00,,,58,2007-04-23 00:00:00,,,Liniers,Comuna 9,1408,C1408AAJ
-58.378132,-34.601528,75,MUNDO LATINO,ESMERALDA ,565,ESMERALDA  565,8755435/18,300 personas,"""C.C""",RENOVADO 2018,62,2006-04-12 00:00:00,47,2018-04-11 00:00:00,,,102,2009-11-12 00:00:00,2018-04-16,2018-06-30,San Nicolas,Comuna 1,1007,C1007ABC
-58.363164,-34.622767,76,DORSIA,A.  MOREAU DE JUSTO,2092,A.  MOREAU DE JUSTO 2092,12648/06,679 personas,"""C""",RENOVADO 2017,65,2006-04-21 00:00:00,80,2017-08-25 00:00:00,,,83,2010-06-18 00:00:00,2018-02-23,2018-05-10,,,1107,C1107AFP
-58.367479,-34.600006,77,LA MADELEINE,A.  MOREAU DE JUSTO,102,A.  MOREAU DE JUSTO 102,80621/05,205  personas,"""C.C""",INSCRPCION VENCIDA,75,2006-06-01 00:00:00,82,2012-06-12 00:00:00,,,75,2006-06-01 00:00:00,,,Puerto Madero,Comuna 1,1107,C1107AAD
-58.461552,-34.578216,78,LA CITY,AV. ALVAREZ THOMAS,1391,AV. ALVAREZ THOMAS 1391,21605283/17,940 personas,"""C""",RENOVADO 2017,85,2006-06-23 00:00:00,98,2017-10-20 00:00:00,,,85,2006-06-23 00:00:00,2018-06-27,2018-09-28,Villa Ortuzar,Comuna 15,1427,C1427CDA
-58.430019,-34.588474,79,BRUJAS,J.L. BORGES,1640,J.L. BORGES 1640,21605283/17,264 personas,"""C""",RENOVADO 2017,94,2006-07-17 00:00:00,76,2017-08-11 00:00:00,,,108,2013-06-13 00:00:00,2018-07-11,2018-09-30,Palermo,Comuna 14,1414,C1414DGB
-58.396099,-34.588904,80,RUANO,AZCUENAGA,1775,AZCUENAGA 1775, 21136087/17,254 personas,"""C.C""",RENOVADO 2017,100,2006-08-11 00:00:00,91,2017-10-03 00:00:00,,,100,2006-08-11 00:00:00,2018-05-24,2018-08-17,Recoleta,Comuna 2,1128,C1128AAC
-58.412230,-34.602712,81,UNI CLUB,GUARDIA VIEJA,3360,GUARDIA VIEJA 3360,30099/06,630 personas,"""C""",RENOVADO 2017,101,2006-08-11 00:00:00,74,2017-08-04 00:00:00,,,97,2007-11-16 00:00:00,2018-04-25,2018-07-27,Balvanera,Comuna 3,1192,C1192AAB
-58.370741,-34.614363,82,POR VOS BS AS,BALCARCE ,563,BALCARCE  563,38142/06,586 personas,"""C""","BAJA INSC: Disp
. Nº 002/2010",122,2006-11-02 00:00:00,98,2008-11-12 00:00:00,,,83,2008-08-29 00:00:00,,,Monserrat,Comuna 1,1064,C1064AAK
-58.391307,-34.621504,83,LO DE CELIA,HUMBERTO PRIMO,1783,HUMBERTO PRIMO 1783,22159527/17,150 personas,"""C.C""",RENOVADO 2017,123,2006-11-02 00:00:00,102,2017-11-10 00:00:00,,,123,2006-11-02 00:00:00,2018-04-20,2018-06-20,Constitucion,Comuna 1,1103,C1103ADI
-58.391979,-34.596110,84,CONTRAMANO,RODRIGUEZ PEÑA ,1082,RODRIGUEZ PEÑA  1082,26552605/17 ,335 personas,C C,RENOVADO 2017,115,2015-12-04 00:00:00,109,2017-12-07 00:00:00,,,56,2007-04-23 00:00:00,2018-04-24,2018-07-21,Recoleta,Comuna 2,1020,C1020ADV
-58.429979,-34.576950,85,KIMIA,SANTA FE ,4999,SANTA FE  4999,81034/06,958  personas   ,C,INSCRIPCION VENCIDA,3,2007-02-14 00:00:00,79,2009-08-07 00:00:00,,,77,2007-07-13 00:00:00,,,Palermo,Comuna 14,1425,C1425BHL
-58.416264,-34.644773,86,EL TEATRO SUR,AV. SAENZ,459,AV. SAENZ 459,3172934/18,2346 personas,C,RENOVADO 2018,5,2007-02-23 00:00:00,12,2018-02-15 00:00:00,,,90,2008-10-23 00:00:00,2018-07-19,2018-10-20,Nueva Pompeya,Comuna 4,1437,C1437DNE
